"Model","Type","Original_Kappa","Rejection_Kappa","Kappa_Improvement","Original_Accuracy","Rejection_Accuracy","Accuracy_Improvement","Mean_Percent_Rejected"
"svm","loso",0.766519493122575,0.782858592366369,0.0163390992437943,0.807821934124924,0.8213169890791,0.0134950549541759,4.06545348303553
"xgboost","loso",0.755511570481337,0.763794429911139,0.00828285942980134,0.798165979834968,0.80506515426811,0.00689917443314192,2.13900026046958
"OvR_Ensemble","loso",0.762118540541368,0.770241782782914,0.00812324224154548,0.802631850135313,0.809389852166471,0.0067580020311585,2.17989650769401
"neural_net","loso",0.756510384358429,0.76086556569749,0.00435518133906099,0.798432375969151,0.801991249735199,0.0035588737660488,0.967829759624264
"Global_Optimized","loso",0.773961516775481,0.776865069214217,0.00290355243873652,0.813137635937452,0.815657440122306,0.00251980418485431,1.02540019932854
