"Model","Type","Original_Kappa","Rejection_Kappa","Kappa_Improvement","Original_Accuracy","Rejection_Accuracy","Accuracy_Improvement","Mean_Percent_Rejected"
"xgboost","cv",0.83543463485401,0.917823906407912,0.0823892715539022,0.858875912780195,0.930095724355554,0.0712198115753592,21.0214233010203
"OvR_Ensemble","cv",0.857535049445659,0.893862811900846,0.0363277624551865,0.878029666946543,0.908828786933798,0.0307991199872547,7.71098898302929
"Global_Optimized","cv",0.861692454560136,0.89691106399927,0.0352186094391336,0.88156120397934,0.911389587022281,0.0298283830429411,8.41691473933288
"neural_net","cv",0.854962788050403,0.884422138596407,0.0294593505460035,0.875509503091367,0.900470037716939,0.0249605346255715,8.31552298806707
"svm","cv",0.856291160677164,0.88504923906934,0.0287580783921759,0.877025926774038,0.901377054692126,0.0243511279180886,6.55229880670687
