"outer_fold","params","mean_kappa","mean_accuracy"
0,"{'batch_size': 32, 'class_weight': True, 'dropout_rate': 0.5, 'l2_reg': 0.001, 'learning_rate': 0.0001, 'loss_function': 'focal', 'min_delta': 0.005, 'n_neurons': [400, 200], 'patience': 30, 'use_batch_norm': False, 'n_genes': 5000, 'best_epoch': 426}",0.808485968571946,0.828235256245171
1,"{'batch_size': 32, 'class_weight': True, 'dropout_rate': 0.5, 'l2_reg': 0.001, 'learning_rate': 0.0001, 'loss_function': 'focal', 'min_delta': 0.005, 'n_neurons': [400, 200, 50], 'patience': 30, 'use_batch_norm': False, 'n_genes': 5000, 'best_epoch': 358}",0.802214035508267,0.822096317280453
2,"{'batch_size': 32, 'class_weight': False, 'dropout_rate': 0.5, 'l2_reg': 0.001, 'learning_rate': 0.0001, 'loss_function': 'focal', 'min_delta': 0.005, 'n_neurons': [400, 200], 'patience': 30, 'use_batch_norm': False, 'n_genes': 3000, 'best_epoch': 369}",0.803971288391096,0.824362606232295
3,"{'batch_size': 32, 'class_weight': True, 'dropout_rate': 0.2, 'l2_reg': 0.001, 'learning_rate': 0.0001, 'loss_function': 'focal', 'min_delta': 0.005, 'n_neurons': [800, 400, 100], 'patience': 30, 'use_batch_norm': False, 'n_genes': 5000, 'best_epoch': 271}",0.805004359533276,0.825495750708215
4,"{'batch_size': 32, 'class_weight': True, 'dropout_rate': 0.2, 'l2_reg': 0.001, 'learning_rate': 0.0001, 'loss_function': 'focal', 'min_delta': 0.005, 'n_neurons': [200, 100], 'patience': 30, 'use_batch_norm': False, 'n_genes': 2000, 'best_epoch': 339}",0.806012908127845,0.826062322946176
