"Model","N_Folds","Mean_Kappa","SD_Kappa","Mean_Accuracy","SD_Accuracy","Mean_Balanced_Accuracy","SD_Balanced_Accuracy","Mean_F1_Macro","SD_F1_Macro"
"neural_net",5,0.770914909066065,0.146216878493593,0.812616377371277,0.116074526893948,0.87501264470413,0.088698977978454,0.762686013160069,0.14507658620928
"Global_Optimized",5,0.746714025573072,0.163246014328821,0.79413697611063,0.130213333735086,0.856626585763776,0.0887860962693283,0.769402357178341,0.141376778671724
"svm",5,0.739652439885278,0.164434389634335,0.789167431540988,0.129899427016867,0.836634412178903,0.0867185880415403,0.751010673581624,0.125618396374401
"OvR_Ensemble",5,0.730970117269288,0.163762385804134,0.781249293816718,0.13077333297046,0.838553596949512,0.0822302377923151,0.750074456294555,0.132135885486157
"xgboost",5,0.72291432144049,0.162356509511415,0.776660541394578,0.128623044635919,0.80841755424232,0.103020983619844,0.762571732160461,0.156109168198507
